nombre,poblacion,superficie,continente
argentina,46994384,2780400,america
brasil,220051512,8515770,america
francia,68374591,643801,europa
japon,123201945,377915,asia
maruecos,37387585,716550,africa
canada,38812500,9976140,america
australia,25690614,7692024,oceania
italia,60244639,301340,europa
india,1393409038,3287263,asia
nigeria,223804632,923768,africa
alemania,83783942,357022,europa
mexico,130262216,1964375,america
corea del sur,51780579,100210,asia
sudafrica,59308690,1219090,africa
nueva zelanda,5082000,268021,oceania
chile,19116201,756102,america
suiza,8654622,41285,europa
rusia,145912025,17098242,europa
turquia,84339067,783356,europa
suecia,10353442,450295,europa
finlandia,5540720,338424,europa
